route_id,bus_id,capacity,passengers,time_slot,trip_number,date
Narol - Naroda,GZ01B7111,50,22,10:00,AMTS10000,2026-04-10
RTO - Maninagar,GZ01B8090,80,38,12:00,AMTS10001,2026-04-10
Zundal - Visat,GZ01B1475,50,18,11:00,AMTS10002,2026-04-10
Bopal - Shivranjani,GZ01B9746,50,15,12:00,AMTS10003,2026-04-10
Narol - Naroda,GZ01B8515,50,18,11:00,AMTS10004,2026-04-10
Bopal - Shivranjani,GZ01B5819,50,40,10:00,AMTS10005,2026-04-10
Iskcon - Naroda,GZ01B5414,80,107,10:00,AMTS10006,2026-04-10
Iskcon - Naroda,GZ01B8460,80,69,16:00,AMTS10007,2026-04-10
Iskcon - Naroda,GZ01B9022,80,68,6:00,AMTS10008,2026-04-10
RTO - Maninagar,GZ01B1781,80,33,20:00,AMTS10009,2026-04-10
Bopal - Shivranjani,GZ01B4909,50,16,16:00,AMTS10010,2026-04-10
Bopal - Shivranjani,GZ01B9520,50,26,20:00,AMTS10011,2026-04-10
Narol - Naroda,GZ01B2903,50,7,11:00,AMTS10012,2026-04-10
Narol - Naroda,GZ01B6608,50,25,9:00,AMTS10013,2026-04-10
Narol - Naroda,GZ01B2744,50,29,8:00,AMTS10014,2026-04-10
Iskcon - Naroda,GZ01B8098,80,104,8:00,AMTS10015,2026-04-10
Zundal - Visat,GZ01B3936,50,57,9:00,AMTS10016,2026-04-10
Zundal - Visat,GZ01B2239,50,23,12:00,AMTS10017,2026-04-10
Zundal - Visat,GZ01B2104,50,61,10:00,AMTS10018,2026-04-10
Bopal - Shivranjani,GZ01B4364,50,28,12:00,AMTS10019,2026-04-10
RTO - Maninagar,GZ01B9240,80,98,10:00,AMTS10020,2026-04-10
Iskcon - Naroda,GZ01B6894,80,40,6:00,AMTS10021,2026-04-10
Bopal - Shivranjani,GZ01B2260,50,38,21:00,AMTS10022,2026-04-10
Bopal - Shivranjani,GZ01B9060,50,32,20:00,AMTS10023,2026-04-10
